time [BJD],flux,flux_err
2459769.9089106983,2.9802322e-05,0.0019973624
2459769.9158552797,-0.0047519803,0.0019973624
2459769.922799861,-0.0072642565,0.0019973624
2459769.929744442,-0.002613902,0.0019973624
2459769.9366890225,-0.0031639338,0.0019973624
2459769.9436336025,-0.0010741353,0.0019973624
2459769.9505781825,-0.0035620332,0.0019973624
2459769.9575227615,-0.004659474,0.0019973624
2459769.9644673406,-0.0029600263,0.0019973624
2459769.971411919,-0.0005566478,0.0019973624
2459769.978356498,-0.00041300058,0.0019973624
2459769.9853010755,-0.007667482,0.0019973624
2459769.992245653,-0.0017850995,0.0019973624
2459769.9991902304,-0.0050203204,0.0019973624
2459770.0061348076,-0.0047565103,0.0019973624
2459770.0130793843,-0.001990497,0.0019973624
2459770.02002396,-0.007612407,0.0019973624
2459770.0269685364,-0.004242599,0.0019973624
2459770.033913112,-0.005168915,0.0019973624
2459770.040857687,-0.0043380857,0.0019973624
2459770.047802262,-0.0012961626,0.0019973624
2459770.054746837,-0.001991868,0.0019973624
2459770.061691411,-3.0398369e-06,0.0019973624
2459770.0686359853,-0.0037934184,0.0019973624
2459770.0755805587,-0.0020112991,0.0019973624
2459770.082525132,-0.005161643,0.0019973624
2459770.0894697052,-0.0030186772,0.0019973624
2459770.0964142783,-0.0059782267,0.0019973624
2459770.103358851,-0.00095945597,0.0019973624
2459770.110303423,-0.0062930584,0.0019973624
2459770.117247995,-0.0027576685,0.0019973624
2459770.1241925666,-0.0031791925,0.0019973624
2459770.1311371378,-0.0040953755,0.0019973624
2459770.138081709,-0.0020044446,0.0019973624
2459770.14502628,-0.003930807,0.0019973624
2459770.151970851,-0.004771173,0.0019973624
2459770.158915421,0.0020325184,0.0019973624
2459770.165859991,-0.003964126,0.0019973624
2459770.172804561,-0.0047755837,0.0019973624
2459770.1797491307,-0.0057219267,0.0019973624
2459770.1866937,0.0015833378,0.0019973624
2459770.1936382693,-0.0038555264,0.0019973624
2459770.200582838,-0.0029159784,0.0019973624
2459770.207527407,5.030632e-05,0.0019973624
2459770.2144719753,-0.004145026,0.0019973624
2459770.2214165437,-0.0015887022,0.0019973624
2459770.2283611116,-0.004793167,0.0019973624
2459770.2353056795,-0.0024018288,0.0019973624
2459770.242250247,-0.0023784041,0.0019973624
2459770.2491948144,-0.0022126436,0.0019973624
2459770.2561393813,-0.0055482388,0.0019973624
2459770.2630839483,-0.0058791637,0.0019973624
2459770.2700285153,-0.0027772188,0.0019973624
2459770.2769730818,-0.0029652715,0.0019973624
2459770.2839176483,0.0038155317,0.0019973624
2459770.2908622143,-0.0016430616,0.0019973624
2459770.2978067803,-0.0007470846,0.0019973624
2459770.304751346,-0.0052704215,0.0019973624
2459770.311695912,-0.001704812,0.0019973624
2459770.318640477,-0.004797101,0.0019973624
2459770.3255850426,4.220009e-05,0.0019973624
2459770.3325296077,-0.0034068823,0.0019973624
2459770.339474173,-0.0040344596,0.0019973624
2459770.3464187374,-0.0024100542,0.0019973624
2459770.353363302,-0.007472396,0.0019973624
2459770.3603078667,-0.0013002157,0.0019973624
2459770.367252431,-0.0010522008,0.0019973624
2459770.374196995,-0.00025624037,0.0019973624
2459770.381141559,0.0014089346,0.0019973624
2459770.388086123,-0.0039222836,0.0019973624
2459770.395030687,0.0034761429,0.0019973624
2459770.4019752503,-0.0004233718,0.0019973624
2459770.408919814,0.00096547604,0.0019973624
2459770.4158643773,-0.0046024323,0.0019973624
2459770.4228089405,-0.0026330948,0.0019973624
2459770.4297535038,-0.0016661882,0.0019973624
2459770.4366980665,-0.004630327,0.0019973624
2459770.44364263,-0.001124382,0.0019973624
2459770.4505871926,-0.0014949441,0.0019973624
2459770.457531755,0.0013456345,0.0019973624
2459770.4644763176,-0.0026242137,0.0019973624
2459770.47142088,-0.0011863112,0.0019973624
2459770.4783654422,0.0003874302,0.0019973624
2459770.485310004,-0.0013703108,0.0019973624
2459770.4922545664,-0.005186498,0.0019973624
2459770.4991991282,-0.003924966,0.0019973624
2459770.50614369,-0.0012254715,0.0019973624
2459770.513088252,-0.004493177,0.0019973624
2459770.520032814,0.0018939972,0.0019973624
2459770.526977375,0.00060522556,0.0019973624
2459770.5339219365,-0.00047683716,0.0019973624
2459770.540866498,-0.0044306517,0.0019973624
2459770.5478110593,-0.00043010712,0.0019973624
2459770.5547556207,-0.0018827915,0.0019973624
2459770.5617001816,-0.0005739331,0.0019973624
2459770.568644743,0.0005838871,0.0019973624
2459770.575589304,-0.0035524368,0.0019973624
2459770.582533865,-0.0017095804,0.0019973624
2459770.5894784257,-0.0033739805,0.0019973624
2459770.596422986,-0.002380371,0.0019973624
2459770.603367547,-0.0027395487,0.0019973624
2459770.6103121075,-0.0042500496,0.0019973624
2459770.617256668,0.00022280216,0.0019973624
2459770.6242012284,-0.0026934743,0.0019973624
2459770.631145789,-0.0019671917,0.0019973624
2459770.638090349,-0.0011125803,0.0019973624
