koi #	TTV amplitude (mins)	BIC score (>10 = strong evidence)		
1.01	0.026498944624564987	2.3000000000000003
2.01	0.07253462252953509	10.67
3.01	0.13415758246999102	18.51
5.01	0.6118627050286974	2.14
7.01	1.205783137471421	1.67
10.01	0.16583494965763876	-3.3200000000000003
12.01	1.2435200719966806	308.05
13.01	0.050564171335216374	33.
17.01	0.1245219125055218	6.3
18.01	0.17614586158837486	0.38
20.01	0.12168861478427118	5.43
22.01	0.18304116528315487	0.77
41.01	5.282987398990106	3.35
41.02	29.922916389292677	191.12
41.03	57.021554738834304	104.92
42.01	10.056448745725287	521.32
46.01	1.3591847236725092	9.51
49.01	2.382065471295416	4.37
63.01	0.46753447426602945	65.46000000000001
69.01	1.080525196166138	2.29
70.01	2.6188414079736755	55.230000000000004
70.02	3.8187893385472145	60.99
70.03	5.88854861589818	11.33
70.05	36.068625457268205	58.89
72.01	1.4262273355157096	6.53
72.02	5.992094327598865	23.04
75.01	71.4578880764565	4497.68
82.01	1.3385573642577369	6.4
82.02	4.79723478587412	15.5
82.03	21.04753599718869	47.45
82.04	21.025117519115888	76.60000000000001
84.01	5.1701475909593535	255.20000000000002
85.01	2.414981332487671	24.69
85.02	8.739251186832334	121.92
85.03	18.678267229486586	168.85
89.01	9.873761251046478	8.25
89.02	172.88898242881746	162.29
92.01	3.7972491954366636	10.4
94.01	0.9385533136719408	36.480000000000004
94.02	5.590357849017273	85.92
94.03	5.889033331499991	108.41
94.04	22.43745923861378	99.65
97.01	0.15699422768051471	1.84
98.01	0.38632047258207136	-2.34
100.01	2.2648714201750697	19.32
102.01	0.6238158083399679	3.22
103.01	28.908049120571278	2679.93
104.01	0.4570899771678931	-3.62
105.01	1.2251286629488087	3.47
107.01	2.974949757476504	6.54
108.01	3.3147686828810587	11.34
108.02	23.978277030607845	283.51
110.01	1.8456956917207372	-1.45
111.01	3.8875944437737853	20.39
111.02	7.834416433876944	46.96
111.03	25.87687444990629	8.8
112.01	2.323947524281535	-5.57
112.02	9.921719339928668	30.12
115.01	2.2012064646619343	17.57
115.02	8.759745846433638	19.75
116.01	4.270744773762073	7.03
116.02	4.9953317073488295	-1.4000000000000001
117.01	6.334184266335988	11.15
117.02	20.350414296754078	93.36
117.03	20.7607369750154	94.81
118.01	8.577567205264273	3.92
119.01	3.052948144314676	18.95
119.02	10.992510923144074	15.56
122.01	2.755879704246568	3.64
123.01	3.7667852711185197	12.6
123.02	5.982290779522967	8.08
124.01	4.160981887568811	-3.58
124.02	4.219923151441389	-5.76
127.01	0.16143513196990078	5.07
128.01	0.15089627787140006	-1.59
137.01	4.5118018541063805	509.14
137.02	4.484020720714696	509.72
137.03	6.663584319328808	37.25
139.01	295.22119409311506	3824.42
139.02	11.705658322668372	48.28
141.01	0.49610407241676024	-0.92
142.01	641.1162185375198	5.8412185600000005e6
144.01	1.655037766861618	4.61
148.01	4.813181458090206	29.560000000000002
148.02	4.032918354839348	57.22
148.03	10.294004346164582	9.28
149.01	2.4786760448471834	-4.8
150.01	2.4158247863134026	0.87
150.02	3.725121822678279	-1.6500000000000001
151.01	3.3540473740239873	4.95
152.01	8.734211282207122	143.33
152.02	15.392703876741693	53.4
152.03	11.726582976380154	82.84
152.04	37.314878623275945	25.93
153.01	2.557821095779024	3.16
153.02	3.369295425241251	21.32
155.01	2.533177989899062	0.36
156.01	5.70587844713682	24.310000000000002
156.02	9.328741878166221	34.59
156.03	2.7407924892536806	19.330000000000002
157.01	7.0591470436417225	30.650000000000002
157.02	10.065325072792922	61.03
157.03	6.82324703562895	48.910000000000004
157.04	25.589909419354996	105.15
157.05	9.945874196812214	8.6
157.06	17.10196988729106	77.4
159.01	4.385618774313348	2.52
161.01	1.3849343727982721	11.620000000000001
162.01	4.352928849253007	5.8500000000000005
165.01	4.6716760376840885	22.43
166.01	3.678887751410101	7.16
167.01	4.040449797786138	12.26
168.01	22.88596557632047	217.54
168.02	25.25884460557775	50.29
168.03	37.36920680808045	21.04
171.01	4.0786211934904335	10.39
171.02	14.176762568181214	15.51
172.01	4.626748642087979	-0.79
172.02	54.51860584688029	4.37
173.01	4.7696386542865215	-1.28
174.01	5.767581003366131	9.290000000000001
176.01	10.12557622120623	11.32
177.01	14.398026898899127	23.580000000000002
179.01	4.97127258547701	1.83
180.01	2.000312981397775	-1.82
183.01	0.08795117958452027	-1.47
186.01	0.2372473305813908	14.43
188.01	0.16391563792457922	2.04
189.01	0.42756165738754276	1.04
191.01	0.5399316628264409	2.99
191.02	7.531144705916485	56.71
191.04	13.839053153017453	-3.93
192.01	0.22352645787665706	-5.3100000000000005
193.01	0.34074637547587183	-0.3
195.01	0.2023773796753422	2.77
196.01	0.15327960191908446	4.21
197.01	0.4150592787554523	3.15
199.01	0.2390857426835167	0.9
200.01	0.8922643435676919	15.84
202.01	0.2485886358675561	41.79
203.01	0.21830049317822012	172.28
204.01	0.409340910307041	-1.98
208.01	0.6692742240466245	23.05
209.01	2.748382518886322	31.51
209.02	10.092513027008321	361.02
212.01	0.7511222864772321	4.01
214.01	0.48955361386346863	12.9
216.01	1.3763692646941021	3.86
217.01	0.35192045622036927	80.65
219.01	0.8882677979778548	-1.54
220.01	0.7137279179802084	0.21
221.01	0.6568788902849597	2.73
222.01	2.6826291113490623	2.81
222.02	12.735051275494923	39.19
223.01	1.8161681417051203	0.47000000000000003
223.02	11.89618885703285	13.01
226.01	9.290054817207416	40.38
227.01	958.6948614914107	768380.39
232.01	1.5646864361822574	3.37
232.02	15.373318802454186	115.85000000000001
232.03	38.285135939221156	113.16
232.04	272.3738412282297	85.77
232.05	47.653202200823856	60.07
234.01	4.7403267407639404	4.28
235.01	3.633439569448417	4.64
237.01	3.5927703546452223	0.93
238.01	5.8721578165301125	-1.86
238.02	77.49937052291392	56.9
239.01	1.9623246850683749	-1.99
240.01	2.8669218874789792	2.35
241.01	5.5787054937988785	6.94
241.02	18.023184888496036	-2.83
242.01	1.1966202561904067	1.04
244.01	1.4457592886995576	107.92
244.02	3.8334564054421425	162.26
245.01	2.02005398407046	33.59
245.02	12.05471111544384	19.89
246.01	1.0499217031026893	-0.3
246.02	28.592685196325224	188.62
247.01	5.58728558925953	5.66
248.01	10.588275313702756	215.28
248.02	19.019367324546526	191.73000000000002
248.03	5.548042975148658	26.26
248.04	15.59935370132867	41.59
249.01	1.534115115242197	-1.6500000000000001
250.01	10.09196984310446	302.7
250.02	11.792451481990792	187.16
250.04	4.850677228279447	-5.1000000000000005
251.01	1.704832851391818	8.040000000000001
252.01	4.133026199560046	1.9000000000000001
253.01	2.958080448242373	-2.18
253.02	68.95119418527382	134.83
254.01	0.17189327410213842	15.13
255.01	4.324164270996752	5.53
257.01	0.925647577339669	-4.79
260.01	6.817383924239328	10.43
260.02	9.79455262764839	28.85
260.03	22.90635041030323	143.76
262.01	36.59704475184675	484.8
262.02	15.676956995147723	159.65
263.01	11.371275611077376	6.95
265.01	9.523606390745154	22.150000000000002
268.01	5.366939413092595	12.82
269.01	7.810092518632813	0.64
270.01	11.880254348687965	10.88
270.02	23.577424771070717	90.37
271.01	7.852781506949382	17.150000000000002
271.02	11.715310942509642	62.78
271.03	13.706039719027435	28.91
273.01	2.493522903142133	5.53
274.01	70.89931032615453	237.79
274.02	110.69639381406519	262.66
275.01	10.8333760365913	15.290000000000001
275.02	16.369626844819773	0.29
276.01	4.316795626225851	15.530000000000001
277.01	118.37380141947597	25600.08
277.02	177.06630201372738	1925.39
279.01	3.1764806399829557	41.5
279.02	14.370104746521962	56.4
280.01	1.5447625853010196	-0.9
281.01	5.66315744381014	2.25
282.01	2.5266695938926684	7.32
282.02	16.461967210353183	34.85
282.03	16.969509537702073	0.27
283.01	2.1764003811293318	2.2800000000000002
283.02	64.81179446586135	122.78
284.01	10.787566438414167	18.55
284.02	10.222673217753066	24.98
284.03	13.761790826481237	40.4
284.04	4.762649453692685	-5.86
285.01	3.1448987137492184	2.44
285.02	17.653213135180046	36.21
285.03	56.96226025788125	120.82000000000001
288.01	3.9226297650911337	-5.17
289.01	4.214221009030132	-3.41
291.01	8.009805489512456	-0.9
291.02	18.203665259411427	35.02
292.01	5.128820382096137	20.88
294.01	14.156957665289093	35.980000000000004
295.01	5.217659596992004	28.16
295.02	19.088880266867726	29.490000000000002
296.01	6.010644783525942	-1.3800000000000001
297.01	7.875342369494525	9.23
298.01	8.18096732634552	4.61
298.02	22.051179930091806	6.65
299.01	3.86474517241493	27.490000000000002
301.01	8.333039393261254	33.9
301.02	44.98654429910966	103.75
303.01	6.765815006497192	11.07
304.01	2.0623418774773548	10.49
305.01	2.664034435878242	2.86
306.01	3.5900933743930725	6.72
307.01	12.74969313721095	19.57
307.02	16.445780861818704	43.660000000000004
308.01	35.1881603511108	1468.13
312.01	22.464999371064405	272.06
312.02	12.86745678550697	39.910000000000004
313.01	5.106200722143679	18.39
313.02	4.9910143035809105	10.55
314.01	4.007533429575762	45.79
314.02	23.54313645438286	793.0600000000001
315.01	134.40055324808824	19249.260000000002
316.01	3.8723320602956255	1.55
316.02	31.370432942295608	101.22
316.03	7.401727151595089	24.61
317.01	6.379263365175869	7.
318.01	11.947704699749794	381.46
319.01	13.010851794792018	570.9
321.01	5.948188814386526	39.56
323.01	1.759439784702424	2.27
326.01	9.944546690735017	30.93
326.02	234.414581679854	15.11
327.01	9.864437023066898	59.370000000000005
327.02	42.325433893477886	30.
330.01	21.6870740119267	90.28
331.01	11.266781631417924	4.12
332.01	7.915356577526713	11.36
333.01	6.955282022634166	8.59
337.01	9.468309254771091	-1.72
338.01	6.825499410566357	5.48
339.01	6.634426834105146	49.230000000000004
339.02	12.908004811050773	13.040000000000001
341.01	26.849639061030487	1224.68
341.02	48.422091564757835	1146.48
343.01	4.552002368307528	38.160000000000004
343.02	7.885271642765137	97.62
343.03	66.30068149854938	67.35
344.01	5.530008716599201	19.47
345.01	11.395788052884916	233.38
346.01	3.2972961340086697	5.41
348.01	2.643146821249162	4.3100000000000005
349.01	3.320275680557915	-3.14
350.01	68.01386100398425	369.08
351.03	13.213399281593533	1.01
351.04	14.353877712430158	-1.93
352.01	15.784215244022757	11.88
353.01	5.456912211520918	15.200000000000001
353.02	21.37388355178691	29.6
354.01	4.460959801552647	-0.97
354.02	39.69788001155951	164.81
355.01	6.236764217997809	47.28
356.01	1.1644553399380446	12.84
361.01	9.820950079418155	59.370000000000005
365.01	3.218581008614904	2.72
366.01	0.9321894870346614	8.43
367.01	0.5229336461720612	0.37
368.01	2.941218218947422	15.5
369.01	10.793028639399946	38.57
369.02	8.976613746234305	4.16
370.01	8.401651326997616	11.790000000000001
370.02	19.996388394504727	36.89
372.01	17.881260344693803	6206.93
373.01	6.510754665087023	6.11
374.01	103.62864460584025	196.47
377.01	520.9826323259556	8.68561351e6
377.02	1186.3297544317386	1.822005018e7
384.01	14.678046567632478	52.71
385.01	15.774868437447974	48.77
386.01	6.276149150546513	1.75
386.02	16.57755688874784	5.72
387.01	2.3282812566221005	2.63
388.01	8.348287644990888	10.41
392.01	45.00106217100373	56.
393.01	15.940311768985309	0.4
398.01	2.1811104130627244	25.51
398.02	3.3748411978587476	26.310000000000002
398.03	21.86099006619406	416.7
401.01	2.113858311021204	-0.11
401.02	4.921191116609934	-3.9
401.03	50.758941222810435	28.26
403.01	2.569801471884741	-1.2
408.01	3.0355600063305066	5.21
408.02	9.383228136073487	30.53
408.03	24.33452074338285	36.230000000000004
409.01	7.105842101804154	15.36
410.01	7.676757159831856	366.31
412.01	0.6663377516965796	-0.45
413.01	3.7634721356798075	1.81
413.02	14.910916178326378	15.780000000000001
415.01	1.0724235445930743	-3.56
416.01	1.69326571848656	-5.42
416.02	4.30889954670179	-2.
417.01	1.1282205763539828	13.23
420.01	0.8664881248921249	4.07
421.01	0.20593299135455514	-3.71
423.01	0.5537845002279936	0.99
426.01	4.105297826892785	-4.49
427.01	8.06316870993416	43.39
427.02	23.460733274130536	48.29
428.01	0.8773640568552333	-2.65
429.01	1.542673511275537	4.96
430.01	4.081834541221921	18.51
431.01	4.975630015347475	4.09
431.02	11.57753362308242	10.25
432.01	2.1813039064348176	7.92
433.01	1.7583779157634487	12.86
435.01	7.731903855357213	36.67
435.03	19.28952901630487	23.32
435.05	9.819408684378963	-1.29
438.01	3.627323557000287	9.120000000000001
438.02	7.488002901552561	5.57
