#BJD_TDB	rel_flux_T1_dfn	rel_flux_err_T1_dfn
2460097.581386	1.003073	0.001443
2460097.582318	1.002222	0.001420
2460097.583271	1.000072	0.001419
2460097.584204	1.000836	0.001414
2460097.585137	0.999071	0.001425
2460097.586091	0.998939	0.001434
2460097.587027	0.998693	0.001405
2460097.587980	0.998572	0.001393
2460097.588945	1.000921	0.001403
2460097.589878	0.999123	0.001390
2460097.590825	1.000222	0.001392
2460097.591775	1.001890	0.001379
2460097.592717	0.999034	0.001378
2460097.593667	0.998353	0.001395
2460097.594603	0.999586	0.001369
2460097.595542	0.995830	0.001379
2460097.596474	1.000468	0.001366
2460097.597414	1.000400	0.001369
2460097.598349	1.000419	0.001375
2460097.599304	0.999736	0.001378
2460097.600241	0.999953	0.001383
2460097.601171	1.002118	0.001391
2460097.602110	0.999491	0.001377
2460097.603070	1.002630	0.001366
2460097.604021	1.000768	0.001365
2460097.604952	1.000999	0.001379
2460097.605894	0.999699	0.001368
2460097.606841	0.999142	0.001367
2460097.607773	0.997717	0.001382
2460097.608722	0.997877	0.001367
2460097.609671	1.001847	0.001358
2460097.610612	0.998861	0.001352
2460097.611556	1.000479	0.001354
2460097.612499	1.000967	0.001370
2460097.613449	0.996764	0.001354
2460097.614384	1.000289	0.001358
2460097.615318	0.999621	0.001374
2460097.616252	0.997080	0.001349
2460097.617189	1.002280	0.001366
2460097.618136	0.998187	0.001355
2460097.619088	0.999999	0.001361
2460097.620024	0.999041	0.001349
2460097.620956	1.001010	0.001372
2460097.621884	0.999818	0.001351
2460097.622813	0.997676	0.001351
2460097.623742	1.002726	0.001363
2460097.624678	1.000893	0.001362
2460097.625628	1.001245	0.001359
2460097.626593	0.998454	0.001349
2460097.627550	0.999153	0.001349
2460097.628485	1.000181	0.001358
2460097.629425	1.000834	0.001358
2460097.630373	0.999225	0.001377
2460097.631308	0.998468	0.001358
2460097.632252	0.998047	0.001361
2460097.633195	1.000292	0.001363
2460097.634129	0.999757	0.001351
2460097.635080	1.001512	0.001357
2460097.636032	0.999967	0.001352
2460097.636970	1.000246	0.001345
2460097.637912	1.000402	0.001348
2460097.638853	1.001746	0.001352
2460097.639803	1.001216	0.001355
2460097.640737	1.000340	0.001349
2460097.641678	1.001957	0.001352
2460097.642617	1.001345	0.001351
2460097.643555	0.999192	0.001351
2460097.644498	0.999434	0.001369
2460097.645466	1.002411	0.001368
2460097.646407	1.000549	0.001364
2460097.647337	1.001122	0.001371
2460097.648267	1.000559	0.001362
2460097.649203	0.998584	0.001358
2460097.650134	0.999998	0.001362
2460097.651070	1.002967	0.001363
2460097.652000	0.998817	0.001360
2460097.652950	0.998966	0.001349
2460097.653917	1.000580	0.001343
2460097.654852	0.999347	0.001341
2460097.655783	1.001200	0.001354
2460097.656720	0.999338	0.001334
2460097.657654	1.000623	0.001334
2460097.658584	0.997381	0.001333
2460097.659530	1.002015	0.001334
2460097.660465	0.999306	0.001338
2460097.661406	0.999865	0.001336
2460097.662363	1.000220	0.001351
2460097.663321	1.000263	0.001334
2460097.664253	1.001051	0.001342
2460097.665195	0.998762	0.001329
2460097.666133	1.000661	0.001357
2460097.667072	0.999288	0.001350
2460097.668021	0.998838	0.001362
2460097.668957	1.001502	0.001365
2460097.669894	0.997694	0.001340
2460097.670834	0.998261	0.001353
2460097.671766	0.997225	0.001340
2460097.672707	1.001299	0.001343
2460097.673656	0.998688	0.001354
2460097.674597	0.999864	0.001335
2460097.675527	1.000499	0.001329
2460097.676462	0.998903	0.001339
2460097.677400	1.000971	0.001343
2460097.678336	1.001144	0.001336
2460097.679283	0.998513	0.001329
2460097.680225	1.000535	0.001335
2460097.681175	1.001336	0.001352
2460097.682120	0.999836	0.001332
2460097.683055	1.000437	0.001343
2460097.683993	1.001508	0.001352
2460097.684944	1.001714	0.001336
2460097.685892	1.002364	0.001332
2460097.686880	0.997811	0.001331
2460097.687821	0.999452	0.001343
2460097.688759	1.000231	0.001335
2460097.689706	0.999273	0.001363
2460097.690657	1.000685	0.001340
2460097.691607	1.001076	0.001335
2460097.692547	0.998825	0.001333
2460097.693490	0.999622	0.001336
2460097.694445	1.000962	0.001343
2460097.695383	0.999527	0.001354
2460097.696319	0.998557	0.001373
2460097.697271	0.999083	0.001371
2460097.698213	1.000217	0.001376
2460097.699152	0.999073	0.001333
2460097.700086	1.001034	0.001337
2460097.701039	0.996626	0.001361
2460097.701979	0.998080	0.001376
2460097.702910	0.998617	0.001351
2460097.703845	0.999891	0.001344
2460097.704785	0.999930	0.001345
2460097.705722	0.997549	0.001362
2460097.706655	0.994735	0.001336
2460097.707591	0.998532	0.001335
2460097.708531	0.999969	0.001342
2460097.709481	0.997432	0.001337
2460097.710428	0.996252	0.001339
2460097.711365	0.998299	0.001336
2460097.712308	0.996667	0.001337
2460097.713238	0.996155	0.001331
2460097.714177	0.997670	0.001335
2460097.715112	0.998671	0.001344
2460097.716052	0.996456	0.001341
2460097.716992	0.996027	0.001343
2460097.717928	0.995955	0.001339
