#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	Width_T1	Sky/Pixel_T1
2460097.581386	1.002750	0.001442	5.170332	301.439867
2460097.582318	1.001653	0.001419	5.096113	302.642831
2460097.583271	0.999917	0.001419	5.214605	296.017216
2460097.584204	1.000469	0.001414	5.147714	295.184666
2460097.585137	0.999020	0.001425	5.245536	295.089335
2460097.586091	0.999472	0.001435	5.422941	292.754504
2460097.587027	0.998454	0.001404	5.186955	294.825594
2460097.587980	0.998332	0.001393	5.180645	290.609550
2460097.588945	1.001005	0.001404	5.282431	291.770089
2460097.589878	0.998983	0.001390	5.209726	289.291748
2460097.590825	1.000216	0.001392	5.250015	288.586155
2460097.591775	1.001469	0.001378	5.123356	289.786327
2460097.592717	0.998871	0.001378	5.201872	288.895089
2460097.593667	0.998713	0.001396	5.361488	287.207710
2460097.594603	0.999460	0.001369	5.204981	283.104241
2460097.595542	0.995928	0.001379	5.269919	280.021536
2460097.596474	1.000326	0.001365	5.191584	277.300869
2460097.597414	1.000462	0.001370	5.252073	275.490844
2460097.598349	1.000505	0.001375	5.259335	275.437852
2460097.599304	1.000103	0.001378	5.343440	273.255660
2460097.600241	1.000444	0.001384	5.379405	271.674839
2460097.601171	1.002938	0.001392	5.478462	269.525305
2460097.602110	0.999901	0.001378	5.349343	267.977714
2460097.603070	1.002876	0.001367	5.301418	270.118328
2460097.604021	1.001187	0.001366	5.349634	266.273708
2460097.604952	1.001540	0.001380	5.383926	263.950175
2460097.605894	0.999900	0.001369	5.281457	266.065952
2460097.606841	0.999130	0.001367	5.214352	265.134980
2460097.607773	0.998136	0.001383	5.346342	264.010209
2460097.608722	0.998043	0.001367	5.271327	266.438780
2460097.609671	1.001660	0.001358	5.154851	261.412137
2460097.610612	0.998734	0.001352	5.176379	263.393018
2460097.611556	1.000374	0.001354	5.179867	261.258040
2460097.612499	1.001224	0.001371	5.292831	261.857922
2460097.613449	0.996697	0.001354	5.197259	265.108949
2460097.614384	1.000229	0.001358	5.201294	266.553791
2460097.615318	1.000107	0.001375	5.364353	262.291556
2460097.616252	0.996888	0.001349	5.149225	258.648103
2460097.617189	1.002444	0.001367	5.259004	258.399689
2460097.618136	0.998228	0.001355	5.222659	259.559254
2460097.619088	1.000083	0.001361	5.234942	258.827664
2460097.620024	0.998770	0.001349	5.120053	255.550245
2460097.620956	1.001396	0.001372	5.324249	256.004947
2460097.621884	0.999795	0.001351	5.196205	255.054719
