#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	AIRMASS
2460097.601891	0.998670	0.010242	1.742721
2460097.602365	1.005816	0.010341	1.737743
2460097.602887	0.992182	0.010310	1.732301
2460097.603387	0.985955	0.010148	1.727120
2460097.603918	1.001545	0.010070	1.721656
2460097.604419	1.013677	0.010243	1.716540
2460097.604941	1.012907	0.010124	1.711253
2460097.605468	0.994205	0.010073	1.705946
2460097.606009	1.018522	0.010137	1.700535
2460097.606509	1.005681	0.010240	1.695569
2460097.607045	0.998229	0.010094	1.690283
2460097.607572	1.005101	0.009930	1.685126
2460097.608046	0.988853	0.009973	1.680527
2460097.608571	1.006172	0.010069	1.675451
2460097.609103	1.001229	0.009800	1.670363
2460097.609579	0.988337	0.009777	1.665826
2460097.610054	0.992885	0.009801	1.661325
2460097.610529	1.024731	0.009858	1.656865
2460097.611059	0.983009	0.009748	1.651913
2460097.611586	0.985254	0.009633	1.647035
2460097.612107	0.991459	0.009555	1.642232
2460097.612641	1.022910	0.009661	1.637351
2460097.613142	1.011743	0.009500	1.632809
2460097.613676	1.001814	0.009525	1.627999
2460097.614214	0.989445	0.009425	1.623179
2460097.614714	0.998650	0.009494	1.618726
2460097.615213	0.988375	0.009476	1.614312
2460097.615735	0.994826	0.009472	1.609733
2460097.616209	0.984463	0.009385	1.605601
2460097.616730	0.991223	0.009331	1.601084
2460097.617759	1.026617	0.009503	1.592249
2460097.618289	1.010455	0.009303	1.587750
2460097.618817	1.004745	0.009285	1.583291
2460097.619353	0.994576	0.009466	1.578804
2460097.619875	0.990323	0.009283	1.574459
2460097.620404	1.000333	0.009194	1.570176
2460097.620938	1.004322	0.009191	1.565810
2460097.621470	0.997100	0.009202	1.561384
2460097.622008	1.007661	0.009227	1.557037
2460097.622544	1.018448	0.009136	1.552734
2460097.623021	1.005531	0.009161	1.548931
2460097.623546	1.000473	0.009218	1.544768
2460097.624079	1.018405	0.009193	1.540571
2460097.624669	0.993090	0.009082	1.535950
2460097.625203	1.003947	0.009077	1.531805
2460097.625677	0.983927	0.009001	1.528228
2460097.626211	0.984482	0.008925	1.524125
2460097.626743	1.007371	0.009071	1.520071
2460097.627219	0.997920	0.008915	1.516465
