Global Evidence:    0.317750723953312881E+05  +/-    0.141095890714593275E+00

Dim No.       Mean        Sigma
   1    0.788737899280280291E-01    0.301496540479598578E-03
   2    0.129284384442629130E+04    0.383766474987661610E+02
   3    0.114739821404634207E+00    0.751809610895475128E-01
   4    0.160885000000000417E+03                         NaN
   5    0.551105000000004220E+05                         NaN
   6    0.446695473866126236E+00    0.400431840747296625E-01
   7    0.328387500700968504E+00    0.299284543703770070E-01
   8    0.401818866969238020E+00    0.259926083752582637E+00
   9    0.510951376576950889E+00    0.281239883568771387E+00
  10    0.501018987829257356E+00    0.287981758516622388E+00
  11    0.501646373974065640E+00    0.288489502368943440E+00
  12    0.503270434392257160E+00    0.287532467632157285E+00
  13    0.497284458131395490E+00    0.288764678109966311E+00
  14    0.389084970988985956E+01    0.247677550895825282E+01
  15    0.551105056314038156E+05    0.195312500000000000E-02
  16    0.552713877529698511E+05    0.589992479179422477E-02
  17    0.555931546053418060E+05                         NaN
  18    0.557540457609357763E+05    0.988694176333817717E-02
  19    0.559149294319943947E+05                         NaN
  20    0.560758089938435878E+05                         NaN
  21    0.562367018553703310E+05                         NaN
  22    0.563975776115031767E+05    0.284714447990493200E-02
  23    0.597761048464157866E+05    0.979000862097823346E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.787627010695084590E-01
   2    0.130262428358181637E+04
   3    0.113489956914140169E+00
   4    0.160884999999999991E+03
   5    0.551105000000000000E+05
   6    0.461244058895164843E+00
   7    0.312284449049808732E+00
   8    0.105831206470176034E+00
   9    0.331311087955213635E+00
  10    0.877817485249452689E+00
  11    0.766325788549472753E+00
  12    0.821600358607156522E+00
  13    0.947017158970089090E+00
  14    0.220560735165396249E+01
  15    0.551105054305144367E+05
  16    0.552713879287946256E+05
  17    0.555931543101571078E+05
  18    0.557540457409955343E+05
  19    0.559149292639250416E+05
  20    0.560758091814084910E+05
  21    0.562367019704874183E+05
  22    0.563975776656216913E+05
  23    0.597761095222976510E+05

MAP Parameters
Dim No.        Parameter
   1    0.787627010695084590E-01
   2    0.130262428358181637E+04
   3    0.113489956914140169E+00
   4    0.160884999999999991E+03
   5    0.551105000000000000E+05
   6    0.461244058895164843E+00
   7    0.312284449049808732E+00
   8    0.105831206470176034E+00
   9    0.331311087955213635E+00
  10    0.877817485249452689E+00
  11    0.766325788549472753E+00
  12    0.821600358607156522E+00
  13    0.947017158970089090E+00
  14    0.220560735165396249E+01
  15    0.551105054305144367E+05
  16    0.552713879287946256E+05
  17    0.555931543101571078E+05
  18    0.557540457409955343E+05
  19    0.559149292639250416E+05
  20    0.560758091814084910E+05
  21    0.562367019704874183E+05
  22    0.563975776656216913E+05
  23    0.597761095222976510E+05
