time [BJD],flux,flux_err
2459769.9089106983,-0.0005709529,0.0017747354
2459769.9158552797,-0.006107092,0.0017747354
2459769.922799861,-0.008737683,0.0017747354
2459769.929744442,-0.0038338304,0.0017747354
2459769.9366890225,-0.004382789,0.0017747354
2459769.9436336025,-0.002857864,0.0017747354
2459769.9505781825,-0.004608631,0.0017747354
2459769.9575227615,-0.0040510297,0.0017747354
2459769.9644673406,-0.004194498,0.0017747354
2459769.971411919,0.000104665756,0.0017747354
2459769.978356498,-0.0027729273,0.0017747354
2459769.9853010755,-0.007285118,0.0017747354
2459769.992245653,-0.0040757656,0.0017747354
2459769.9991902304,-0.0045980215,0.0017747354
2459770.0061348076,-0.0043394566,0.0017747354
2459770.0130793843,-0.0026134849,0.0017747354
2459770.02002396,-0.0057756305,0.0017747354
2459770.0269685364,-0.005559087,0.0017747354
2459770.033913112,-0.0056934953,0.0017747354
2459770.040857687,-0.00477767,0.0017747354
2459770.047802262,-0.0036254525,0.0017747354
2459770.054746837,-0.002067566,0.0017747354
2459770.061691411,-2.348423e-05,0.0017747354
2459770.0686359853,-0.0035008192,0.0017747354
2459770.0755805587,-0.002045691,0.0017747354
2459770.082525132,-0.004325688,0.0017747354
2459770.0894697052,-0.0014855266,0.0017747354
2459770.0964142783,-0.0056833625,0.0017747354
2459770.103358851,-0.0018045306,0.0017747354
2459770.110303423,-0.004018843,0.0017747354
2459770.117247995,-0.0034766197,0.0017747354
2459770.1241925666,-0.003334403,0.0017747354
2459770.1311371378,-0.0032519698,0.0017747354
2459770.138081709,-0.004665315,0.0017747354
2459770.14502628,-0.0041184425,0.0017747354
2459770.151970851,-0.0048499107,0.0017747354
2459770.158915421,0.0016525984,0.0017747354
2459770.165859991,-0.0033355951,0.0017747354
2459770.172804561,-0.0055241585,0.0017747354
2459770.1797491307,-0.0051572323,0.0017747354
2459770.1866937,0.0017961264,0.0017747354
2459770.1936382693,-0.003342867,0.0017747354
2459770.200582838,-0.0025945902,0.0017747354
2459770.207527407,0.00018525124,0.0017747354
2459770.2144719753,-0.003726542,0.0017747354
2459770.2214165437,-0.00097209215,0.0017747354
2459770.2283611116,-0.0048416257,0.0017747354
2459770.2353056795,-0.0029696226,0.0017747354
2459770.242250247,-0.002302587,0.0017747354
2459770.2491948144,-0.002329111,0.0017747354
2459770.2561393813,-0.005512774,0.0017747354
2459770.2630839483,-0.004087448,0.0017747354
2459770.2700285153,-0.004219353,0.0017747354
2459770.2769730818,-0.0019375086,0.0017747354
2459770.2839176483,0.0013022423,0.0017747354
2459770.2908622143,-0.0010276437,0.0017747354
2459770.2978067803,-0.00050354004,0.0017747354
2459770.304751346,-0.004374504,0.0017747354
2459770.311695912,-0.0012422204,0.0017747354
2459770.318640477,-0.003926635,0.0017747354
2459770.3255850426,0.00013911724,0.0017747354
2459770.3325296077,-0.0041130185,0.0017747354
2459770.339474173,-0.004657209,0.0017747354
2459770.3464187374,-0.0015445352,0.0017747354
2459770.353363302,-0.00655514,0.0017747354
2459770.3603078667,0.0005925894,0.0017747354
2459770.367252431,0.00037527084,0.0017747354
2459770.374196995,-0.0003877282,0.0017747354
2459770.381141559,0.00091814995,0.0017747354
2459770.388086123,-0.0032382011,0.0017747354
2459770.395030687,0.0028221607,0.0017747354
2459770.4019752503,-0.00074124336,0.0017747354
2459770.408919814,-0.00016438961,0.0017747354
2459770.4158643773,-0.003332734,0.0017747354
2459770.4228089405,-0.0012993217,0.0017747354
2459770.4297535038,-0.0013827682,0.0017747354
2459770.4366980665,-0.0041348934,0.0017747354
2459770.44364263,-0.00047135353,0.0017747354
2459770.4505871926,-0.0022141337,0.0017747354
2459770.457531755,0.0003517866,0.0017747354
2459770.4644763176,-0.004153788,0.0017747354
2459770.47142088,-0.0009993315,0.0017747354
2459770.4783654422,6.6161156e-05,0.0017747354
2459770.485310004,-0.0013181567,0.0017747354
2459770.4922545664,-0.0044142604,0.0017747354
2459770.4991991282,-0.0029556751,0.0017747354
2459770.50614369,-0.002019763,0.0017747354
2459770.513088252,-0.0025817156,0.0017747354
2459770.520032814,0.0018453598,0.0017747354
2459770.526977375,0.0010946989,0.0017747354
2459770.5339219365,-0.00047451258,0.0017747354
2459770.540866498,-0.0038383603,0.0017747354
2459770.5478110593,0.00020837784,0.0017747354
2459770.5547556207,-0.0016931295,0.0017747354
2459770.5617001816,-0.00067442656,0.0017747354
2459770.568644743,0.0013526678,0.0017747354
2459770.575589304,-0.004209459,0.0017747354
2459770.582533865,-0.0025798678,0.0017747354
2459770.5894784257,-0.001232028,0.0017747354
2459770.596422986,-0.0017949343,0.0017747354
2459770.603367547,-0.0031297207,0.0017747354
2459770.6103121075,-0.0036770105,0.0017747354
2459770.617256668,-0.002234757,0.0017747354
2459770.6242012284,-0.0010690689,0.0017747354
2459770.631145789,-0.00063592196,0.0017747354
2459770.638090349,0.0006301403,0.0017747354
2459770.6450349092,0.00067186356,0.0017747354
2459770.651979469,-0.0049737096,0.0017747354
2459770.658924029,-0.0022902489,0.0017747354
2459770.665868589,-0.0017018914,0.0017747354
2459770.672813149,-0.0035290122,0.0017747354
2459770.679757709,-0.0017317533,0.0017747354
2459770.686702269,-0.0013541579,0.0017747354
2459770.6936468286,-0.0020164847,0.0017747354
2459770.7005913886,0.00030457973,0.0017747354
2459770.707535948,-0.004062116,0.0017747354
2459770.7144805077,-0.0037510395,0.0017747354
2459770.721425067,-0.0012376904,0.0017747354
2459770.7283696267,-0.0035843253,0.0017747354
2459770.735314186,-0.0011665821,0.0017747354
2459770.7422587457,-0.00261873,0.0017747354
2459770.7492033048,-0.0027586222,0.0017747354
2459770.7561478643,-0.0025888681,0.0017747354
2459770.7630924233,0.0016086102,0.0017747354
2459770.770036983,-0.0037500858,0.0017747354
2459770.776981542,-0.0035940409,0.0017747354
2459770.783926101,-0.0010797381,0.0017747354
2459770.79087066,-0.0014650822,0.0017747354
2459770.797815219,0.0017629862,0.0017747354
2459770.804759778,-0.0019003749,0.0017747354
2459770.811704337,-0.00090426207,0.0017747354
2459770.8186488957,-0.0018624663,0.0017747354
2459770.8255934548,-0.0021624565,0.0017747354
2459770.8325380133,-0.0010151267,0.0017747354
2459770.8394825724,-0.0031745434,0.0017747354
2459770.846427131,-0.002467513,0.0017747354
2459770.85337169,0.00021862984,0.0017747354
2459770.8603162486,-0.0015230775,0.0017747354
2459770.867260807,3.4570694e-06,0.0017747354
2459770.874205366,-0.0020466447,0.0017747354
2459770.8811499244,-0.0017251372,0.0017747354
2459770.888094483,-0.0023492575,0.0017747354
2459770.8950390415,-0.002469182,0.0017747354
2459770.9019836,-0.0018031597,0.0017747354
2459770.9089281587,-0.0011763573,0.0017747354
2459770.915872717,-0.0022727847,0.0017747354
2459770.9228172754,-0.00274539,0.0017747354
2459770.9297618335,0.0011082888,0.0017747354
2459770.936706392,-0.004643142,0.0017747354
2459770.94365095,-0.0026973486,0.0017747354
2459770.950595509,0.0012075901,0.0017747354
2459770.9575400674,-0.0007790923,0.0017747354
2459770.9644846255,-0.0025550127,0.0017747354
2459770.9714291836,-0.0028361678,0.0017747354
2459770.9783737417,-0.00022363663,0.0017747354
2459770.9853183003,-6.198883e-06,0.0017747354
2459770.9922628584,-0.00040441751,0.0017747354
2459770.9992074165,0.00042164326,0.0017747354
2459771.0061519747,-0.0022304058,0.0017747354
2459771.013096533,-0.0003092289,0.0017747354
2459771.020041091,0.0017228127,0.0017747354
2459771.0269856486,0.0014884472,0.0017747354
2459771.0339302067,-0.00028979778,0.0017747354
2459771.040874765,-0.00040441751,0.0017747354
2459771.047819323,-0.0007799268,0.0017747354
2459771.054763881,-0.0022859573,0.0017747354
2459771.0617084387,0.00083482265,0.0017747354
2459771.068652997,-0.00043070316,0.0017747354
2459771.0755975544,-0.0041428804,0.0017747354
2459771.0825421126,-0.0014486909,0.0017747354
2459771.0894866707,-0.0022979379,0.0017747354
2459771.0964312283,-0.0013116598,0.0017747354
2459771.103375786,0.0015799999,0.0017747354
2459771.110320344,-0.0048175454,0.0017747354
2459771.1172649018,-0.0022146702,0.0017747354
2459771.12420946,-0.0018678308,0.0017747354
2459771.1311540175,-0.004120171,0.0017747354
2459771.138098575,0.0041041374,0.0017747354
2459771.1450431333,-0.0025354624,0.0017747354
2459771.151987691,-0.0036574602,0.0017747354
2459771.1589322486,0.00016593933,0.0017747354
